product_id,product_name,image_hash,product_url
3487800,Bandeautop,2f0e59c66bcb3ec3aa61bcf65bc25fcd,https://www.aboutyou.de/p/x/x-3487800
3645895,Strickjacke 'FRZubasic',610ef478c27d3a7735eaa557febb1696,https://www.aboutyou.de/p/x/x-3645895
3724087,Mütze 'Etienne' aus Baumwolle,b0cbaa94bd915654cd90d7ee064ec28f,https://www.aboutyou.de/p/x/x-3724087
3789031,Push-up-BH,aaafdf0f0928d3aea84b03575f0668fc,https://www.aboutyou.de/p/x/x-3789031
3936013,Sneaker 'Air VaporMax Plus',afe0bc9bef8da48bb4ab44ca6bbe5cd5,https://www.aboutyou.de/p/x/x-3936013
4104257,Badeshorts,images/adca7963a0e4f1038a00c24708075f31.jpg,https://www.aboutyou.de/p/x/x-4104257
4315616,Chinohose mit Bindeband,32452c2b0240e97766b36150f0056518,https://www.aboutyou.de/p/x/x-4315616
4582843,Schnürstiefelette 'Vonda',images/4ae458ebf713f4bfc8627fafc5dc4055.png,https://www.aboutyou.de/p/x/x-4582843
4654547,T-Shirt 'Chase',6d70dbbd2f820f9c69d7ee15369c7714,https://www.aboutyou.de/p/x/x-4654547
4737912,BH 'Amourette 300',fb9dd5558a78b6578ab964d217e9f905,https://www.aboutyou.de/p/x/x-4737912
6524545,Hose 'Superflex',images/de490d40ffb721fb5dd47d6cc8c983e4.png,https://www.aboutyou.de/p/x/x-6524545
6719591,Outdoorjacke,images/945fad4d010c24c0d525c7045844bdc1.jpg,https://www.aboutyou.de/p/x/x-6719591
7090272,Chelsea Boots 'Alea',images/73fd0309b6aff433b8f50a99f42ec23e.png,https://www.aboutyou.de/p/x/x-7090272
7097555,Sneaker 'Court Vision Alta',images/6c130bd6dd3cfc14e7785084e775451a.jpg,https://www.aboutyou.de/p/x/x-7097555
7455417,Portemonnaie 'Cortina Cosma',images/d5ff65d33780204874bafe4fb7f7c478.jpg,https://www.aboutyou.de/p/x/x-7455417
7684278,Shapewear,images/0c6bcba2a7279fe22c9614808cf6daa0.png,https://www.aboutyou.de/p/x/x-7684278
7734838,Sneaker 'Uno',images/3fa10a330ab97ba8e306b1dcd19d6ccc.png,https://www.aboutyou.de/p/x/x-7734838
7954939,Hose 'Poptrash',images/aaaa9a9e21e680645600d5fec2d2db96.jpg,https://www.aboutyou.de/p/x/x-7954939
8377459,Sneaker 'Tensaur',images/4347f04b94000c21f1e2c60456b65c64.png,https://www.aboutyou.de/p/x/x-8377459
8883105,Sportbrille 'Air',images/59d6ca24c322498e6342ed504ee32053.jpg,https://www.aboutyou.de/p/x/x-8883105
8918318,Winterparka,images/7379ea899d65a6214499750bfd23ee41.png,https://www.aboutyou.de/p/x/x-8918318
9003886,Snowboots 'Explorer II',images/05ff62c63d9b03cf7d95cad92c3eda3a.png,https://www.aboutyou.de/p/x/x-9003886
9136619,Schlafshirt,images/0a9a7d000e400e1d7f5f0fa303d3449a.png,https://www.aboutyou.de/p/x/x-9136619
9232061,Hose 'Anna',images/5a83ec81782c0526ef7f72b152efe55c.jpg,https://www.aboutyou.de/p/x/x-9232061
9401225,Bikini,images/f99a817f1a0bf33bbf011a265e8aa8fe.jpg,https://www.aboutyou.de/p/x/x-9401225
11044913,Hose 'SLFRITA',images/c5d21da5ced2d9ccfdca25dfc868ee29.jpg,https://www.aboutyou.de/p/x/x-11044913
11871445,Snowboots 'JOAN',images/e4cf83734763d93e8659587164a7dfcd.png,https://www.aboutyou.de/p/x/x-11871445
12410805,Shirt 'Cassidy',images/f9ee13808b0912cc8bdfabf6f699353a.png,https://www.aboutyou.de/p/x/x-12410805
12446001,Rock 'YASPella',images/c243591ae5d6b594bba1f77219f47bb4.jpg,https://www.aboutyou.de/p/x/x-12446001
12556472,Mütze,images/d27aa3d41161ca947008dba2ceb18923.72X1_flat,https://www.aboutyou.de/p/x/x-12556472
12780252,Jeans 'INGAA',images/2f80439733bec5a6dc2dd816d6b978f6.jpg,https://www.aboutyou.de/p/x/x-12780252
13158441,Mantel 'Fenia',images/9e084adfc6459ec02c83c823aa5bf89a.jpg,https://www.aboutyou.de/p/x/x-13158441
13452998,Sweatjacke 'Adicolor Classics Firebird',images/5d6b6ebfa1ac39be925e958ff697f463.jpg,https://www.aboutyou.de/p/x/x-13452998
13755177,Overall 'Renate',images/913c32a0261ffaf0b688de7f07bf537a.png,https://www.aboutyou.de/p/x/x-13755177
14014717,Badeschuh 'Adilette',images/d4f05cd3159ab20c1e09d16e0f79a8aa.jpg,https://www.aboutyou.de/p/x/x-14014717
14187837,Strickjacke 'VMLea',images/5fcaba4947ede364cfd5f572b9a72f25.png,https://www.aboutyou.de/p/x/x-14187837
14435469,Shopper 'Special Martu',images/fda14de45818e1a23ce35eaf52a6f28d.png,https://www.aboutyou.de/p/x/x-14435469
15013936,Hose 'Sude',images/d0c3b922dfeda38b68bc2a52c67ef48e.png,https://www.aboutyou.de/p/x/x-15013936
15827200,Sneaker 'Uno',images/52d4d71dcc0b1e704d112e7211ea76d8.png,https://www.aboutyou.de/p/x/x-15827200
16849505,T-Shirt 'Summer Vibes',images/2f22a9f1dfc78fec05435ff1c1adda75.jpg,https://www.aboutyou.de/p/x/x-16849505
16868996,Funktionsshirt,images/7379ee183e14f0c6864f3985e4be7d72.jpg,https://www.aboutyou.de/p/x/x-16868996
17605236,Pullover 'UMAdair',images/3de3a63e2260a3c02a03373fe482b87a.jpg,https://www.aboutyou.de/p/x/x-17605236
17665102,Body 'Rosa',images/1428fba2788f1e8f1dc64ba834b618e8.png,https://www.aboutyou.de/p/x/x-17665102
